校舎,ユーザー名,生徒,科目,ルートレベル,参考書名,所要時間,予定,達成済,達成割合
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,中学版システム英単語,94.5,True,True,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英単語ターゲット1200 改訂版,168.0,False,True,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,システム英単語basic,168.0,True,True,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,中学英語をもう一度ひとつひとつわかりやすく。,56.0,False,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,大岩のいちばんはじめの英文法超基礎文法編,31.5,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,高校基礎英文法パターンドリル,42.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,高校英文読解をひとつひとつわかりやすく。,56.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英文法ポラリス1,70.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,システム英単語,210.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英単語ターゲット1900,210.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,必携英単語LEAP,210.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,速読英熟語,147.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英熟語ターゲット1000,147.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,Vintage,196.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,動画でわかる英文法[読解入門編],56.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,入門英文問題精講,84.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,関正生のThe Rules英語長文問題集 1,52.5,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,関正生のThe Rules英語長文問題集 2,52.5,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英語長文ポラリス 1,52.5,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,英文法ファイナル演習ポラリス1,42.0,True,False,
デフォルト校舎,デフォルトユーザー,デフォルト生徒,英語,日大,大学入試はじめの英文読解ドリル,42.0,True,False,
